date,open,high,low,close,volume
2019-11-13,112.2,112.23,112.08,112.15,2598503.0
2019-11-14,112.5,112.57,112.43,112.47,2901048.0
2019-11-15,112.46,112.46,112.38,112.41,5078285.0
2019-11-18,112.56,112.65,112.52,112.62,6044518.0
2019-11-19,112.63,112.76,112.6,112.7,2655951.0
2019-11-20,112.83,112.98,112.81,112.97,3474473.0
2019-11-21,112.8,112.89,112.72,112.81,6522830.0
2019-11-22,112.89,112.9,112.76,112.87,2507046.0
2019-11-25,112.91,113.01,112.89,112.98,4392682.0
2019-11-26,113.09,113.16,113.08,113.14,2522234.0
2019-11-27,113.03,113.07,112.96,113.0,3437269.0
2019-11-29,113.01,113.02,112.85,112.86,4058982.0
2019-12-02,112.31,112.51,112.29,112.49,9329626.0
2019-12-03,112.8,113.13,112.76,113.0,5310615.0
2019-12-04,112.87,112.95,112.68,112.81,5806479.0
2019-12-05,112.58,112.74,112.53,112.68,4374749.0
2019-12-06,112.47,112.68,112.41,112.52,4648200.0
2019-12-09,112.69,112.72,112.57,112.58,7398338.0
2019-12-10,112.67,112.67,112.49,112.54,3761060.0
2019-12-11,112.67,112.9,112.61,112.84,3470043.0
2019-12-12,112.79,112.79,112.22,112.36,5080118.0
2019-12-13,112.58,112.86,112.4,112.81,5910984.0
2019-12-16,112.68,112.69,112.5,112.58,5012142.0
2019-12-17,112.69,112.7,112.52,112.59,3016266.0
2019-12-18,112.55,112.56,112.36,112.37,6516293.0
2019-12-19,112.19,112.36,112.13,112.3,5613828.0
2019-12-20,112.21,112.33,112.15,112.32,8809204.0
2019-12-23,112.38,112.39,112.18,112.24,3148580.0
2019-12-24,112.17,112.4,112.13,112.38,1887800.0
2019-12-26,112.42,112.49,112.32,112.48,6072100.0
2019-12-27,112.6,112.64,112.58,112.63,4733786.0
2019-12-30,112.42,112.65,112.34,112.63,3979075.0
2019-12-31,112.54,112.54,112.37,112.37,6807577.0
2020-01-02,112.68,112.8,112.56,112.68,6791422.0
2020-01-03,112.89,113.05,112.78,113.01,3664283.0
2020-01-06,113.13,113.13,112.84,112.92,8131608.0
2020-01-07,112.92,112.92,112.78,112.8,2882995.0
2020-01-08,112.85,112.94,112.55,112.67,7323117.0
2020-01-09,112.49,112.79,112.46,112.79,9110852.0
2020-01-10,112.9,112.99,112.82,112.98,4198053.0
2020-01-13,112.89,112.94,112.83,112.91,4465340.0
2020-01-14,112.97,113.02,112.93,113.01,3625422.0
2020-01-15,113.18,113.19,113.07,113.18,3896304.0
2020-01-16,113.16,113.21,113.05,113.18,2801378.0
2020-01-17,113.02,113.1,112.97,113.05,3003267.0
2020-01-21,113.25,113.41,113.22,113.37,4672052.0
2020-01-22,113.44,113.49,113.39,113.43,3627169.0
2020-01-23,113.64,113.7,113.58,113.58,3429530.0
2020-01-24,113.68,113.89,113.67,113.79,4199775.0
2020-01-27,114.14,114.16,114.05,114.14,4789955.0
2020-01-28,114.1,114.16,113.95,114.04,4463823.0
2020-01-29,114.13,114.35,114.11,114.3,2890161.0
2020-01-30,114.28,114.54,114.235,114.31,6885551.0
2020-01-31,114.48,114.67,114.38,114.65,5281895.0
2020-02-03,114.2,114.41,114.08,114.37,7214231.0
2020-02-04,114.1,114.1,113.89,113.99,5290765.0
2020-02-05,113.82,113.87,113.7601,113.82,6066905.0
2020-02-06,113.82,113.93,113.77,113.89,6838658.0
2020-02-07,114.2,114.28,114.1,114.22,5224176.0
2020-02-10,114.44,114.44,114.29,114.35,8187842.0
2020-02-11,114.35,114.35,114.19,114.21,5633359.0
2020-02-12,114.12,114.14,114.03,114.09,6373719.0
2020-02-13,114.11,114.24,114.1,114.17,5214383.0
2020-02-14,114.35,114.38,114.27,114.29,4004913.0
2020-02-18,114.48,114.56,114.34,114.44,4874767.0
2020-02-19,114.4,114.47,114.33,114.41,3692153.0
2020-02-20,114.53,114.68,114.49,114.67,4055975.0
2020-02-21,114.86,115.1,114.84,114.9,4492703.0
2020-02-24,115.43,115.43,115.23,115.27,7489214.0
2020-02-25,115.28,115.58,115.27,115.47,7474614.0
2020-02-26,115.32,115.61,115.26,115.35,4762967.0
2020-02-27,115.75,115.75,115.35,115.37,11606398.0
2020-02-28,115.88,116.34,115.76,116.22,17242966.0
2020-03-02,116.29,116.44,115.89,115.94,12998203.0
2020-03-03,116.05,117.26,116.01,116.73,12540985.0
2020-03-04,116.83,117.12,116.53,116.64,6285261.0
2020-03-05,116.99,117.23,116.93,117.0,6802750.0
