date,open,high,low,close,volume
2019-11-13,131.04,131.49,130.72,131.27,5921189.0
2019-11-14,131.03,131.36,130.14,130.96,4217462.0
2019-11-15,131.25,134.97,130.78,134.94,10495109.0
2019-11-18,134.22,135.69,132.66,134.83,9291804.0
2019-11-19,135.0,135.19,134.21,134.82,5191041.0
2019-11-20,135.11,136.34,134.07,135.94,7594445.0
2019-11-21,135.94,136.85,135.0,136.44,6424067.0
2019-11-22,136.65,138.63,136.5,138.07,9235789.0
2019-11-25,137.06,137.65,136.24,137.18,6111905.0
2019-11-26,136.47,137.34,135.15,137.17,10643924.0
2019-11-27,137.16,138.25,136.9,137.75,5522950.0
2019-11-29,137.6,138.27,136.94,137.49,3278854.0
2019-12-02,137.72,137.85,136.85,137.36,4717081.0
2019-12-03,136.91,137.45,136.16,137.16,6414079.0
2019-12-04,138.5,139.74,138.04,139.38,7257259.0
2019-12-05,139.35,139.75,137.95,139.56,5472944.0
2019-12-06,139.46,141.58,139.46,140.38,6640427.0
2019-12-09,140.39,140.81,140.06,140.5,4240984.0
2019-12-10,140.8,141.0,139.91,139.99,5310334.0
2019-12-11,140.93,141.98,140.63,140.98,6498780.0
2019-12-12,141.32,142.06,140.73,141.34,5011366.0
2019-12-13,141.1,141.8,140.31,141.38,4257188.0
2019-12-16,141.73,142.85,141.49,141.79,5352878.0
2019-12-17,143.0,144.05,142.52,143.56,10720002.0
2019-12-18,143.72,143.88,142.74,143.19,7141074.0
2019-12-19,143.89,145.88,143.61,145.35,9414733.0
2019-12-20,146.88,147.84,144.8,146.06,14482499.0
2019-12-23,145.74,146.76,145.34,146.44,6558748.0
2019-12-24,146.0,146.01,145.26,145.93,4238924.0
2019-12-26,145.97,146.18,145.16,145.83,3019298.0
2019-12-27,146.2,146.55,145.54,145.75,3432681.0
2019-12-30,145.78,146.2,145.03,145.3,2923349.0
2019-12-31,145.1,146.01,144.78,145.87,4434991.0
2020-01-02,145.87,146.02,145.08,145.97,5776962.0
2020-01-03,143.5,145.37,143.0,144.28,5752392.0
2020-01-06,144.0,144.2,142.85,144.1,7730593.0
2020-01-07,144.01,145.45,141.38,144.98,7385397.0
2020-01-08,144.87,145.98,143.7,144.96,6605760.0
2020-01-09,145.76,146.03,144.99,145.39,6112742.0
2020-01-10,145.75,146.18,144.9,145.06,5042624.0
2020-01-13,145.48,145.79,144.72,145.7,4593245.0
2020-01-14,145.05,146.61,144.73,146.52,7037472.0
2020-01-15,146.4,147.4,146.24,147.01,4960248.0
2020-01-16,147.42,148.84,146.2,148.2,6476010.0
2020-01-17,148.41,149.41,147.93,149.17,9083579.0
2020-01-21,148.58,150.17,148.5,149.27,9529978.0
2020-01-22,146.7,149.18,146.0,148.25,10304806.0
2020-01-23,148.04,148.77,146.76,148.53,8671208.0
2020-01-24,148.58,148.95,147.93,148.32,9051928.0
2020-01-27,147.52,149.46,147.0,148.75,7585884.0
2020-01-28,148.46,150.57,148.15,149.5,7336569.0
2020-01-29,149.45,151.19,149.13,150.54,6288524.0
2020-01-30,150.03,150.51,149.05,150.36,6470057.0
2020-01-31,149.75,150.0,148.64,148.87,8651722.0
2020-02-03,149.42,150.49,149.24,150.17,5765151.0
2020-02-04,151.49,152.75,151.2,151.6,6541394.0
2020-02-05,151.72,154.02,151.31,153.99,5979924.0
2020-02-06,154.25,154.5,152.74,153.53,6201072.0
2020-02-07,153.34,153.46,151.55,151.89,5699606.0
2020-02-10,151.68,151.91,150.89,151.86,4835632.0
2020-02-11,152.29,152.38,151.54,151.99,3715329.0
2020-02-12,151.87,152.15,150.92,151.09,5166684.0
2020-02-13,150.16,151.04,149.88,150.09,5480205.0
2020-02-14,150.56,150.64,149.15,150.13,5716330.0
2020-02-18,150.47,150.74,149.06,149.14,7230679.0
