date,open,high,low,close,volume
2019-11-13,146.74,147.46,146.28,147.31,17444230.0
2019-11-14,147.02,148.41,147.0,148.06,19755100.0
2019-11-15,148.93,149.99,148.27,149.97,23508807.0
2019-11-18,150.07,150.55,148.98,150.34,21554762.0
2019-11-19,150.88,151.33,150.2,150.39,23960164.0
2019-11-20,150.31,150.84,148.46,149.62,25720060.0
2019-11-21,149.4,149.8,148.5,149.48,18576083.0
2019-11-22,150.07,150.3,148.82,149.59,15841680.0
2019-11-25,150.0,151.35,149.92,151.23,22428585.0
2019-11-26,151.36,152.42,151.32,152.03,24635100.0
2019-11-27,152.33,152.5,151.52,152.32,15201293.0
2019-11-29,152.1,152.3,151.28,151.38,11977300.0
2019-12-02,151.81,151.83,148.32,149.55,27473616.0
2019-12-03,147.49,149.43,146.65,149.31,25192145.0
2019-12-04,150.14,150.18,149.2,149.85,17580617.0
2019-12-05,150.05,150.32,149.48,149.93,17880601.0
2019-12-06,150.99,151.87,150.27,151.75,16410400.0
2019-12-09,151.07,152.21,150.91,151.36,16741350.0
2019-12-10,151.29,151.89,150.76,151.13,16481060.0
2019-12-11,151.54,151.87,150.33,151.7,18860001.0
2019-12-12,151.65,153.44,151.02,153.24,24645366.0
2019-12-13,153.0,154.89,152.83,154.53,23850062.0
2019-12-16,155.11,155.9,154.82,155.53,24152770.0
2019-12-17,155.45,155.71,154.45,154.69,25443527.0
2019-12-18,154.3,155.48,154.18,154.37,24132379.0
2019-12-19,154.0,155.77,153.75,155.71,25813825.0
2019-12-20,157.35,158.49,156.29,157.41,53599613.0
2019-12-23,158.12,158.12,157.27,157.41,17726283.0
2019-12-24,157.48,157.71,157.12,157.38,8989150.0
2019-12-26,157.56,158.73,157.4,158.67,14526927.0
2019-12-27,159.45,159.55,158.22,158.96,18414352.0
2019-12-30,158.99,159.02,156.73,157.59,16356720.0
2019-12-31,156.77,157.77,156.45,157.7,18393383.0
2020-01-02,158.78,160.73,158.33,160.62,22634546.0
2020-01-03,158.32,159.95,158.06,158.62,21121681.0
2020-01-06,157.08,159.1,156.51,159.03,20826702.0
2020-01-07,159.32,159.67,157.32,157.58,21881740.0
2020-01-08,158.93,160.8,157.95,160.09,27762026.0
2020-01-09,161.84,162.22,161.03,162.09,21399951.0
2020-01-10,162.82,163.22,161.18,161.34,20733946.0
2020-01-13,161.76,163.31,161.26,163.28,18666414.0
2020-01-14,163.39,163.6,161.72,162.13,23500783.0
2020-01-15,162.62,163.94,162.57,163.18,21417871.0
2020-01-16,164.35,166.24,164.03,166.17,23865360.0
2020-01-17,167.42,167.47,165.43,167.1,34371659.0
2020-01-21,166.68,168.19,166.43,166.5,29223486.0
2020-01-22,167.4,167.49,165.68,165.7,24138777.0
2020-01-23,166.19,166.8,165.27,166.72,19680766.0
2020-01-24,167.51,167.53,164.45,165.04,24918117.0
2020-01-27,161.15,163.38,160.2,162.28,32078067.0
2020-01-28,163.78,165.76,163.07,165.46,24899940.0
2020-01-29,167.84,168.75,165.69,168.04,35127771.0
2020-01-30,174.05,174.05,170.79,172.78,51597470.0
2020-01-31,172.21,172.4,169.58,170.23,36142690.0
2020-02-03,170.43,174.5,170.4,174.38,30149052.0
2020-02-04,177.14,180.64,176.31,180.12,36433339.0
2020-02-05,184.03,184.2,178.41,179.9,39186324.0
2020-02-06,180.97,183.82,180.06,183.63,27751381.0
2020-02-07,182.85,185.63,182.48,183.89,33529074.0
2020-02-10,183.58,188.84,183.25,188.7,35844267.0
2020-02-11,190.65,190.7,183.5,184.44,53159906.0
2020-02-12,185.58,185.85,181.85,184.71,47062921.0
2020-02-13,183.08,186.23,182.87,183.71,35295834.0
2020-02-14,183.25,185.41,182.65,185.35,23149516.0
2020-02-18,185.61,187.7,185.5,187.23,27853113.0
2020-02-19,188.06,188.18,186.47,187.28,29997471.0
2020-02-20,186.95,187.25,181.1,184.42,36862376.0
2020-02-21,183.17,183.5,177.25,178.59,48600385.0
2020-02-24,167.77,174.55,163.23,170.89,68311066.0
2020-02-25,174.2,174.84,167.65,168.07,68073295.0
2020-02-26,169.71,173.26,168.21,170.17,56387148.0
2020-02-27,163.32,167.03,157.98,158.18,93174906.0
2020-02-28,152.41,163.71,152.0,162.01,97073557.0
2020-03-02,165.31,172.92,162.31,172.79,71030810.0
2020-03-03,173.8,175.0,162.26,164.51,71677019.0
2020-03-04,168.49,170.7,165.62,170.55,49814383.0
2020-03-05,166.05,170.87,165.69,166.27,47817251.0
